phi,J,n_species,n_types,N,n_correct_pairs,pH,pKa_acid,pKa_base,beta,sum_correct,sum_incorrect,correct_fraction,selectivity
0.0,0.1,2,1,2,1,5.0,6.0,8.0,1.0,0.07577910915665752,0.15018802410550544,0.15155821831331504,0.33535456268651087
0.0,1.1474,2,1,2,1,5.0,6.0,8.0,1.0,0.08164377344287649,0.1471287203005938,0.16328754688575298,0.35687757783689605
0.0,2.1947,2,1,2,1,5.0,6.0,8.0,1.0,0.08783087809821766,0.14391767622082316,0.17566175619643531,0.3789921294495038
0.0,3.2421,2,1,2,1,5.0,6.0,8.0,1.0,0.09434071272380297,0.14055770153052644,0.18868142544760594,0.401623455072191
0.0,4.2895,2,1,2,1,5.0,6.0,8.0,1.0,0.10116913456822972,0.13705412434678238,0.20233826913645944,0.4246820189976585
0.0,5.3368,2,1,2,1,5.0,6.0,8.0,1.0,0.10830905088826207,0.13341398272862323,0.21661810177652413,0.44807087379154836
0.0,6.3842,2,1,2,1,5.0,6.0,8.0,1.0,0.11575249827947791,0.12964493448560419,0.23150499655895582,0.47169400663733435
0.0,7.4316,2,1,2,1,5.0,6.0,8.0,1.0,0.12348650731724536,0.12575731814145996,0.24697301463449073,0.49544459964045967
0.0,8.4789,2,1,2,1,5.0,6.0,8.0,1.0,0.13149504473632828,0.1217630930944028,0.26299008947265656,0.5192135023286575
0.0,9.5263,2,1,2,1,5.0,6.0,8.0,1.0,0.13976152207070183,0.11767453389328088,0.27952304414140366,0.5428980083903049
0.0,10.5737,2,1,2,1,5.0,6.0,8.0,1.0,0.14826436468003454,0.1135063678034254,0.2965287293600691,0.566390150928741
0.0,11.6211,2,1,2,1,5.0,6.0,8.0,1.0,0.15698027328512515,0.10927406693356079,0.3139605465702503,0.5895876595145455
0.0,12.6684,2,1,2,1,5.0,6.0,8.0,1.0,0.16588290359197067,0.10499441044556435,0.33176580718394133,0.6123912745568052
0.0,13.7158,2,1,2,1,5.0,6.0,8.0,1.0,0.1749466288199873,0.1006835939074669,0.3498932576399746,0.6347149709811597
0.0,14.7632,2,1,2,1,5.0,6.0,8.0,1.0,0.184141823004987,0.09635941395380805,0.368283646009974,0.6564741924187534
0.0,15.8105,2,1,2,1,5.0,6.0,8.0,1.0,0.19343777357406228,0.0920397692586124,0.38687554714812455,0.677593661675308
0.0,16.8579,2,1,2,1,5.0,6.0,8.0,1.0,0.20280583686305478,0.087741138804386,0.40561167372610957,0.6980139318166059
0.0,17.9053,2,1,2,1,5.0,6.0,8.0,1.0,0.21221454790810884,0.08348078994780513,0.4244290958162177,0.717679722131824
0.0,18.9526,2,1,2,1,5.0,6.0,8.0,1.0,0.22163269528216895,0.07927527366116582,0.4432653905643379,0.7365464466110726
0.0,20.0,2,1,2,1,5.0,6.0,8.0,1.0,0.2310324429758783,0.07513901072291014,0.4620648859517566,0.7545851848198993
0.05,0.1,2,1,2,1,5.0,6.0,8.0,1.0,0.07585794306145678,0.14996663016506168,0.15171588612291356,0.33591536110361836
0.05,1.1474,2,1,2,1,5.0,6.0,8.0,1.0,0.08258887347236976,0.1446110079017672,0.16517774694473952,0.363507555430312
0.05,2.1947,2,1,2,1,5.0,6.0,8.0,1.0,0.08971189817722904,0.1391537480982376,0.17942379635445807,0.3919849904832369
0.05,3.2421,2,1,2,1,5.0,6.0,8.0,1.0,0.09721967553216626,0.13361042212219615,0.19443935106433252,0.4211741732126261
0.05,4.2895,2,1,2,1,5.0,6.0,8.0,1.0,0.10509807154842803,0.12800052196584405,0.21019614309685605,0.4508738983102987
0.05,5.3368,2,1,2,1,5.0,6.0,8.0,1.0,0.11332801797652288,0.12234567876185645,0.22665603595304576,0.48086833424744674
0.05,6.3842,2,1,2,1,5.0,6.0,8.0,1.0,0.12188815761882908,0.11666767141621931,0.24377631523765816,0.5109418542060479
0.05,7.4316,2,1,2,1,5.0,6.0,8.0,1.0,0.13075041243359187,0.11099123887413356,0.26150082486718373,0.5408683680544251
0.05,8.4789,2,1,2,1,5.0,6.0,8.0,1.0,0.13988264967916456,0.10534195725626777,0.2797652993583291,0.570426644484316
0.05,9.5263,2,1,2,1,5.0,6.0,8.0,1.0,0.14925200143434797,0.0997440703174736,0.29850400286869594,0.5994150846809715
0.05,10.5737,2,1,2,1,5.0,6.0,8.0,1.0,0.15882031380324316,0.09422315378114435,0.3176406276064863,0.627640441855222
0.05,11.6211,2,1,2,1,5.0,6.0,8.0,1.0,0.16854837864567404,0.08880338129925033,0.3370967572913481,0.6549338488368771
0.05,12.6684,2,1,2,1,5.0,6.0,8.0,1.0,0.1783949388682454,0.08350802666283913,0.3567898777364908,0.6811489839624268
0.05,13.7158,2,1,2,1,5.0,6.0,8.0,1.0,0.1883212759746184,0.0783569740164419,0.3766425519492368,0.7061741104905657
0.05,14.7632,2,1,2,1,5.0,6.0,8.0,1.0,0.19828634654521515,0.07336935581817632,0.3965726930904303,0.7299178512364467
0.05,15.8105,2,1,2,1,5.0,6.0,8.0,1.0,0.20825030571151257,0.0685616625652817,0.41650061142302514,0.7523168416738211
0.05,16.8579,2,1,2,1,5.0,6.0,8.0,1.0,0.21817800827246955,0.06394623534250196,0.4363560165449391,0.7733401620394834
0.05,17.9053,2,1,2,1,5.0,6.0,8.0,1.0,0.22803381748596852,0.05953392625318833,0.45606763497193703,0.79297425546034
0.05,18.9526,2,1,2,1,5.0,6.0,8.0,1.0,0.23778489456133042,0.05533263761303486,0.47556978912266085,0.8112271306237654
0.05,20.0,2,1,2,1,5.0,6.0,8.0,1.0,0.24740424622716276,0.05134629721927911,0.4948084924543255,0.8281298617002014
0.1,0.1,2,1,2,1,5.0,6.0,8.0,1.0,0.07593669015656568,0.1497454396395378,0.15187338031313136,0.3364763095118417
0.1,1.1474,2,1,2,1,5.0,6.0,8.0,1.0,0.08352064720083666,0.14212337200502112,0.1670412944016733,0.3701434121532793
0.1,2.1947,2,1,2,1,5.0,6.0,8.0,1.0,0.09153694290125942,0.1345115342756528,0.18307388580251885,0.4049438600270662
0.1,3.2421,2,1,2,1,5.0,6.0,8.0,1.0,0.09996040331686187,0.1269529597509894,0.19992080663372375,0.4405223296037062
0.1,4.2895,2,1,2,1,5.0,6.0,8.0,1.0,0.1087568571355986,0.1194936177855768,0.2175137142711972,0.4764803103833913
0.1,5.3368,2,1,2,1,5.0,6.0,8.0,1.0,0.11788611973877451,0.11217876212746555,0.23577223947754902,0.512403800104151
0.1,6.3842,2,1,2,1,5.0,6.0,8.0,1.0,0.12730590152053087,0.10504940908552474,0.25461180304106173,0.5478932295047466
0.1,7.4316,2,1,2,1,5.0,6.0,8.0,1.0,0.1369679148072067,0.09814513338642641,0.2739358296144134,0.5825619456662517
0.1,8.4789,2,1,2,1,5.0,6.0,8.0,1.0,0.14682184082628844,0.09150065098825882,0.29364368165257687,0.6160637198294256
0.1,9.5263,2,1,2,1,5.0,6.0,8.0,1.0,0.15681971876219744,0.08514305255785795,0.3136394375243949,0.6481150712014456
0.1,10.5737,2,1,2,1,5.0,6.0,8.0,1.0,0.16691166208412134,0.0790949849922804,0.3338233241682427,0.6784843583201362
0.1,11.6211,2,1,2,1,5.0,6.0,8.0,1.0,0.17705080044859126,0.0733718153861508,0.3541016008971825,0.7070080306382122
0.1,12.6684,2,1,2,1,5.0,6.0,8.0,1.0,0.18719233504309732,0.06798285856853137,0.37438467008619464,0.7335835917028809
0.1,13.7158,2,1,2,1,5.0,6.0,8.0,1.0,0.19729810218031604,0.06292974447611877,0.3945962043606321,0.7581744410343509
0.1,14.7632,2,1,2,1,5.0,6.0,8.0,1.0,0.20733118025205058,0.05821014679383346,0.41466236050410116,0.7807868649245099
0.1,15.8105,2,1,2,1,5.0,6.0,8.0,1.0,0.2172590038945805,0.05381690753238669,0.434518007789161,0.8014692369783408
0.1,16.8579,2,1,2,1,5.0,6.0,8.0,1.0,0.227056149702046,0.04973782255514024,0.454112299404092,0.8203074216192592
0.1,17.9053,2,1,2,1,5.0,6.0,8.0,1.0,0.2366984585333572,0.04595907538543791,0.4733969170667144,0.8374036780542974
0.1,18.9526,2,1,2,1,5.0,6.0,8.0,1.0,0.246165649293872,0.042464725765073895,0.492331298587744,0.8528750629368016
0.1,20.0,2,1,2,1,5.0,6.0,8.0,1.0,0.2554436034800657,0.03923662702300889,0.5108872069601313,0.8668501549763774
0.15,0.1,2,1,2,1,5.0,6.0,8.0,1.0,0.07601534999778423,0.14952445389384927,0.15203069999556845,0.33703740397995313
0.15,1.1474,2,1,2,1,5.0,6.0,8.0,1.0,0.08443844450823396,0.13966775985698368,0.1688768890164679,0.37677870073881287
0.15,2.1947,2,1,2,1,5.0,6.0,8.0,1.0,0.09330174281355375,0.13000360649827836,0.1866034856271075,0.4178213513517906
0.15,3.2421,2,1,2,1,5.0,6.0,8.0,1.0,0.10255047910088468,0.12062168015130684,0.20510095820176935,0.4595128686504259
0.15,4.2895,2,1,2,1,5.0,6.0,8.0,1.0,0.11212084105834746,0.11160647043572532,0.22424168211669493,0.5011495481244247
0.15,5.3368,2,1,2,1,5.0,6.0,8.0,1.0,0.12194550319639022,0.10303012093496365,0.24389100639278044,0.5420387371619905
0.15,6.3842,2,1,2,1,5.0,6.0,8.0,1.0,0.1319597961140916,0.09494683700289554,0.2639195922281832,0.5815598878771252
0.15,7.4316,2,1,2,1,5.0,6.0,8.0,1.0,0.14209900995240046,0.08739582456854442,0.2841980199048009,0.6191817356108342
0.15,8.4789,2,1,2,1,5.0,6.0,8.0,1.0,0.1523035213168541,0.08039810885896805,0.3046070426337082,0.6545013079701145
0.15,9.5263,2,1,2,1,5.0,6.0,8.0,1.0,0.1625233789504261,0.07395568864542007,0.3250467579008522,0.6872632770532803
0.15,10.5737,2,1,2,1,5.0,6.0,8.0,1.0,0.1727132511155561,0.06805765138227732,0.3454265022311122,0.7173344009752571
0.15,11.6211,2,1,2,1,5.0,6.0,8.0,1.0,0.18283639086781925,0.06268033670787776,0.3656727817356385,0.744700341492809
0.15,12.6684,2,1,2,1,5.0,6.0,8.0,1.0,0.1928622068932724,0.05779172005160087,0.3857244137865448,0.7694362072998288
0.15,13.7158,2,1,2,1,5.0,6.0,8.0,1.0,0.20276920387777855,0.05335280056273063,0.4055384077555571,0.7916898991975366
0.15,14.7632,2,1,2,1,5.0,6.0,8.0,1.0,0.2125381753622016,0.04932327182609385,0.4250763507244032,0.8116436292715208
0.15,15.8105,2,1,2,1,5.0,6.0,8.0,1.0,0.22215405408867714,0.04566231028527376,0.4443081081773543,0.8295014182870599
0.15,16.8579,2,1,2,1,5.0,6.0,8.0,1.0,0.23160761899602908,0.04232948703120406,0.46321523799205816,0.8454773519181561
0.15,17.9053,2,1,2,1,5.0,6.0,8.0,1.0,0.24088915170487443,0.03928807989028522,0.48177830340974886,0.8597741876932556
0.15,18.9526,2,1,2,1,5.0,6.0,8.0,1.0,0.24999061154205732,0.03650462534255738,0.49998122308411463,0.8725820863916827
0.15,20.0,2,1,2,1,5.0,6.0,8.0,1.0,0.2589076910189409,0.033948575481874785,0.5178153820378818,0.8840776880498095
0.2,0.1,2,1,2,1,5.0,6.0,8.0,1.0,0.07609392214219324,0.1493036742902838,0.15218784428438648,0.3375986405648676
0.2,1.1474,2,1,2,1,5.0,6.0,8.0,1.0,0.08534164498747211,0.1372460535963549,0.17068328997494422,0.38340683483607646
0.2,2.1947,2,1,2,1,5.0,6.0,8.0,1.0,0.09500252409058225,0.12564143047173984,0.1900050481811645,0.4305693499694225
0.2,3.2421,2,1,2,1,5.0,6.0,8.0,1.0,0.10498025155331905,0.11464675300642174,0.2099605031066381,0.4779933677270678
0.2,4.2895,2,1,2,1,5.0,6.0,8.0,1.0,0.11517479366270887,0.10439108596786922,0.23034958732541774,0.5245568840499769
0.2,5.3368,2,1,2,1,5.0,6.0,8.0,1.0,0.12549223782424393,0.0949634489298736,0.25098447564848786,0.5692401936730693
0.2,6.3842,2,1,2,1,5.0,6.0,8.0,1.0,0.13585353961887803,0.08640683620600963,0.27170707923775606,0.6112359844379656
0.2,7.4316,2,1,2,1,5.0,6.0,8.0,1.0,0.1461920452756777,0.07872529198215641,0.2923840905513554,0.6499812200252474
